Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.phylum,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.class,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4
Clostridium perfringens SM101,CP000312,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19042,--,Yes,Bacteria,Clostridium sensu stricto 1,Firmicutes,Clostridiales,Clostridiaceae,,Clostridia,,,,,
Clostridium perfringens SM101,CP000312,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19043,--,Yes,Bacteria,Clostridium sensu stricto 1,Firmicutes,Clostridiales,Clostridiaceae,,Clostridia,,,,,
Polaromonas sp. JS666,CP000316,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19044,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Gammaproteobacteria,,,,,
Nitrobacter hamburgensis X14,CP000319,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19045,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Nitrobacter,Alphaproteobacteria,,,,,
Psychrobacter cryohalolentis K5,CP000323,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19046,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Gammaproteobacteria,,,,,
Psychrobacter cryohalolentis K5,CP000323,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19047,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Gammaproteobacteria,,,,,
Psychrobacter cryohalolentis K5,CP000323,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19048,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Gammaproteobacteria,,,,,
Psychrobacter cryohalolentis K5,CP000323,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19049,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,Gammaproteobacteria,,,,,
Mycobacterium ulcerans Agy99,CP000325,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19050,--,Yes,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,,,
Sphingopyxis alaskensis RB2256,CP000356,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19057,--,Yes,Bacteria,,Proteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,Alphaproteobacteria,,,,,
Deinococcus geothermalis DSM 11300,CP000359,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19058,--,Yes,Bacteria,Deinococcota,,Deinococcales,Deinococcaceae,Deinococcus,Deinococci,,,,,
Roseobacter denitrificans OCh 114,CP000362,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19060,--,Yes,Bacteria,,Proteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,Alphaproteobacteria,,,,,
Burkholderia cenocepacia AU 1054,CP000378,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19066,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia AU 1054,CP000378,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19067,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia AU 1054,CP000378,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19068,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia AU 1054,CP000379,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19069,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia AU 1054,CP000380,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19070,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Clostridium novyi NT,CP000382,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19071,--,Yes,Bacteria,Clostridium sensu stricto 7,Firmicutes,Clostridiales,Clostridiaceae,,Clostridia,,,,,
Clostridium novyi NT,CP000382,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19072,--,Yes,Bacteria,Clostridium sensu stricto 7,Firmicutes,Clostridiales,Clostridiaceae,,Clostridia,,,,,
Clostridium novyi NT,CP000382,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19073,--,Yes,Bacteria,Clostridium sensu stricto 7,Firmicutes,Clostridiales,Clostridiaceae,,Clostridia,,,,,
Cytophaga hutchinsonii ATCC 33406,CP000383,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19074,--,Yes,Bacteria,Bacteroidota,,Cytophagales,Cytophagaceae,Cytophaga,Bacteroidia,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19077,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19078,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19079,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19080,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Pseudoalteromonas atlantica T6c,CP000388,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19081,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Alteromonadaceae,Paraglaciecola,Gammaproteobacteria,,,,,
Trichodesmium erythraeum IMS101,CP000393,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19084,--,Yes,Bacteria,Cyanobacteriia,Cyanobacteria,,,,,Cyanobacteriales,Phormidiaceae,Trichodesmium IMS101,,
Trichodesmium erythraeum IMS101,CP000393,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19085,--,Yes,Bacteria,Cyanobacteriia,Cyanobacteria,,,,,Cyanobacteriales,Phormidiaceae,Trichodesmium IMS101,,
Granulibacter bethesdensis CGDNIH1,CP000394,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19086,--,Yes,Bacteria,Acetobacterales,Proteobacteria,,Acetobacteraceae,Granulibacter,Alphaproteobacteria,,,,,
Granulibacter bethesdensis CGDNIH1,CP000394,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19087,--,Yes,Bacteria,Acetobacterales,Proteobacteria,,Acetobacteraceae,Granulibacter,Alphaproteobacteria,,,,,
Granulibacter bethesdensis CGDNIH1,CP000394,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19088,--,Yes,Bacteria,Acetobacterales,Proteobacteria,,Acetobacteraceae,Granulibacter,Alphaproteobacteria,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19123,--,Yes,Bacteria,Francisellales,Proteobacteria,,Francisellaceae,Francisella,Gammaproteobacteria,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19124,--,Yes,Bacteria,Francisellales,Proteobacteria,,Francisellaceae,Francisella,Gammaproteobacteria,,,,,
Francisella tularensis subsp. holarctica OSU18,CP000437,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19125,--,Yes,Bacteria,Francisellales,Proteobacteria,,Francisellaceae,Francisella,Gammaproteobacteria,,,,,
Shewanella sp. MR-7,CP000444,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19135,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. MR-7,CP000444,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19136,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. MR-7,CP000444,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19137,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. MR-4,CP000446,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19138,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. MR-4,CP000446,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19139,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella frigidimarina NCIMB 400,CP000447,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19140,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella frigidimarina NCIMB 400,CP000447,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19141,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella frigidimarina NCIMB 400,CP000447,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19142,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Maricaulis maris MCS10,CP000449,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19145,--,Yes,Bacteria,,Proteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,Alphaproteobacteria,,,,,
Maricaulis maris MCS10,CP000449,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19146,--,Yes,Bacteria,,Proteobacteria,Caulobacterales,Hyphomonadaceae,Maricaulis,Alphaproteobacteria,,,,,
Nitrosomonas eutropha C91,CP000450,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19147,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,Gammaproteobacteria,,,,,
Burkholderia cenocepacia HI2424,CP000458,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19151,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia HI2424,CP000458,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19152,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia HI2424,CP000458,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19153,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia HI2424,CP000459,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19154,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia cenocepacia HI2424,CP000460,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19155,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Aeromonas hydrophila subsp. hydrophila ATCC 7966,CP000462,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19156,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Gammaproteobacteria,,,,,
Aeromonas hydrophila subsp. hydrophila ATCC 7966,CP000462,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19157,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Gammaproteobacteria,,,,,
Aeromonas hydrophila subsp. hydrophila ATCC 7966,CP000462,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19158,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Aeromonadaceae,Aeromonas,Gammaproteobacteria,,,,,
Rhodopseudomonas palustris BisA53,CP000463,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19159,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Alphaproteobacteria,,,,,
Rhodopseudomonas palustris BisA53,CP000463,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19160,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Xanthobacteraceae,Rhodopseudomonas,Alphaproteobacteria,,,,,
Shewanella sp. ANA-3,CP000469,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19161,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. ANA-3,CP000469,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19162,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. ANA-3,CP000469,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19163,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Mycobacterium avium 104,CP000479,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19171,--,Yes,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,,,
Pelobacter propionicus DSM 2379,CP000482,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19174,--,Yes,Bacteria,Desulfobacterota,,,,,,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,,Pseudopelobacter
Pelobacter propionicus DSM 2379,CP000482,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19175,--,Yes,Bacteria,Desulfobacterota,,,,,,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,,Pseudopelobacter
Pelobacter propionicus DSM 2379,CP000482,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19176,--,Yes,Bacteria,Desulfobacterota,,,,,,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,,Pseudopelobacter
Pelobacter propionicus DSM 2379,CP000482,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19177,--,Yes,Bacteria,Desulfobacterota,,,,,,Desulfuromonadia,Geobacterales,Pseudopelobacteraceae,,Pseudopelobacter
Campylobacter fetus subsp. fetus 82-40,CP000487,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19182,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Candidatus Ruthia magnifica str. Cm (Calyptogena magnifica),CP000488,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19183,--,Yes,Bacteria,Thioglobaceae,Proteobacteria,Pseudomonadales,,Candidatus Ruthia,Gammaproteobacteria,,,,,
Paracoccus denitrificans PD1222,CP000489,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19184,--,Yes,Bacteria,,Proteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Alphaproteobacteria,,,,,
Paracoccus denitrificans PD1222,CP000489,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19185,--,Yes,Bacteria,,Proteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Alphaproteobacteria,,,,,
Chlorobium phaeobacteroides DSM 266,CP000492,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19186,--,Yes,Bacteria,Bacteroidota,,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobia,,,,,
Chlorobium phaeobacteroides DSM 266,CP000492,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19187,--,Yes,Bacteria,Bacteroidota,,Chlorobiales,Chlorobiaceae,Chlorobium,Chlorobia,,,,,
Shewanella sp. W3-18-1,CP000503,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19189,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. W3-18-1,CP000503,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19190,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella sp. W3-18-1,CP000503,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19191,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella amazonensis SB2B,CP000507,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19192,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella amazonensis SB2B,CP000507,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19193,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Shewanella amazonensis SB2B,CP000507,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19194,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Shewanellaceae,Shewanella,Gammaproteobacteria,,,,,
Psychromonas ingrahamii 37,CP000510,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19196,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,Gammaproteobacteria,,,,,
Psychromonas ingrahamii 37,CP000510,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19197,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,Gammaproteobacteria,,,,,
Psychromonas ingrahamii 37,CP000510,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19198,--,Yes,Bacteria,,Proteobacteria,Enterobacterales,Psychromonadaceae,Psychromonas,Gammaproteobacteria,,,,,
Bartonella bacilliformis KC583,CP000524,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19207,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Alphaproteobacteria,,,,,
Bartonella bacilliformis KC583,CP000524,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19208,--,Yes,Bacteria,,Proteobacteria,Rhizobiales,Rhizobiaceae,Bartonella,Alphaproteobacteria,,,,,
Burkholderia mallei SAVP1,CP000525,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19209,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia mallei SAVP1,CP000525,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19210,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia mallei SAVP1,CP000526,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19211,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia mallei SAVP1,CP000526,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19212,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Polaromonas naphthalenivorans CJ2,CP000529,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19218,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Gammaproteobacteria,,,,,
Polaromonas naphthalenivorans CJ2,CP000529,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19219,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Gammaproteobacteria,,,,,
Campylobacter jejuni subsp. jejuni 81-176,CP000538,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19220,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni subsp. jejuni 81-176,CP000538,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19221,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Campylobacter jejuni subsp. jejuni 81-176,CP000538,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19222,--,Yes,Bacteria,Campylobacterota,,Campylobacterales,Campylobacteraceae,Campylobacter,,Campylobacteria,,,,
Acidovorax sp. JS42,CP000539,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19223,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Gammaproteobacteria,,,,,
Acidovorax sp. JS42,CP000539,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19224,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Gammaproteobacteria,,,,,
Acidovorax sp. JS42,CP000539,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19225,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Diaphorobacter,Gammaproteobacteria,,,,,
Verminephrobacter eiseniae EF01-2,CP000542,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19226,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Gammaproteobacteria,,,,,
Verminephrobacter eiseniae EF01-2,CP000542,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19227,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Gammaproteobacteria,,,,,
Verminephrobacter eiseniae EF01-2,CP000542,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19228,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Verminephrobacter,Gammaproteobacteria,,,,,
Halorhodospira halophila SL1,CP000544,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19229,--,Yes,Bacteria,Nitrococcales,Proteobacteria,,,Halorhodospira,Gammaproteobacteria,Halorhodospiraceae,,,,
Burkholderia mallei NCTC 10229,CP000545,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19230,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia mallei NCTC 10229,CP000545,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19231,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Burkholderia mallei NCTC 10229,CP000546,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19232,--,Yes,Bacteria,Burkholderia-Caballeronia-Paraburkholderia,Proteobacteria,Burkholderiales,Burkholderiaceae,,Gammaproteobacteria,,,,,
Methylibium petroleiphilum PM1,CP000556,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19238,--,Yes,Bacteria,,Proteobacteria,Burkholderiales,Comamonadaceae,Methylibium,Gammaproteobacteria,,,,,
Acinetobacter sp. ADP1,CR543861,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_B_19304,--,Yes,Bacteria,,Proteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Gammaproteobacteria,,,,,
