Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 1
Methanobacterium formicicum,AF443995,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7050,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanobacterium,Methanobacterium formicicum,,
Methanococcus vannielii,X00916,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7051,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,,
Haloferax volcanii,K00170,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7126,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7129,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Thermococcus celer,L07321,78,34,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7154,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer,,
Methanococcus vannielii,X00916,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7181,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,,
Methanococcus vannielii,X00916,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7182,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus vannielii,,
Thermococcus celer,X07692,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7193,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus celer,,
Archaeoglobus fulgidus DSM 4304,AE000782,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7310,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7326,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7327,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7328,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrococcus furiosus DSM 3638,AE010251,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7334,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Methanopyrus kandleri AV19,AE010398,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7335,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
uncultured methanogenic archaeon,AM114193,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7426,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7428,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Thermococcus kodakarensis KOD1,AP006878,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7452,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Pyrococcus horikoshii OT3,BA000001,75,31,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_7538,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7620,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7621,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7661,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7671,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7672,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7673,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Hyperthermus butylicus DSM 5456,CP000493,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7741,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Methanocorpusculum labreanum Z,CP000559,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7768,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum,Methanocorpusculum labreanum,Methanocorpusculum labreanum Z,
Natronomonas pharaonis DSM 2160,CR936257,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_7799,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Haloquadratum walsbyi,DQ314493,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7899,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,,
Haloquadratum walsbyi,DQ314494,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7900,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,,
Halobacterium salinarum,K02972,75,31,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7925,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,Halobacterium salinarum,,
Methanocaldococcus jannaschii DSM 2661,L77117,72,28,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7927,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Pyrococcus furiosus DSM 3638,AB005747,77,35,42,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_7997,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Archaeoglobus fulgidus DSM 4304,AE000782,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8063,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Methanosarcina mazei Go1,AE008384,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8103,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8104,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8105,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrococcus furiosus DSM 3638,AE010156,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8124,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Pyrococcus furiosus DSM 3638,AE010198,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8125,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Picrophilus torridus DSM 9790,AE017261,75,47,28,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8284,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Picrophilaceae,Picrophilus,Picrophilus torridus,Picrophilus torridus DSM 9790,
uncultured methanogenic archaeon,AM114193,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8630,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
uncultured methanogenic archaeon,AM114193,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8631,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8636,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Haloquadratum walsbyi DSM 16790,AM180088,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8637,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8690,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8691,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Thermococcus kodakarensis KOD1,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus kodakarensis,,
Haloarcula marismortui ATCC 43049,AY596295,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8834,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Haloarcula marismortui ATCC 43049,AY596297,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8835,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Haloarcula marismortui ATCC 43049,AY596297,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8836,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula marismortui,Haloarcula marismortui ATCC 43049,
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8904,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8905,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus horikoshii OT3,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,,
Thermoplasma volcanium GSS1,BA000011,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8917,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Thermoplasma volcanium GSS1,BA000011,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8918,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Thermoplasma volcanium GSS1,
Methanosarcina barkeri str. Fusaro,CP000099,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9146,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9147,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosarcina barkeri str. Fusaro,CP000099,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9148,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina barkeri,Methanosarcina barkeri str. Fusaro,
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9149,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9150,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,Methanosphaera stadtmanae,Methanosphaera stadtmanae DSM 3091,
Methanospirillum hungatei JF-1,CP000254,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9237,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum,Methanospirillum hungatei,Methanospirillum hungatei JF-1,
Methanococcoides burtonii DSM 6242,CP000300,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9272,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Methanococcoides burtonii DSM 6242,CP000300,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9273,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides,Methanococcoides burtonii,Methanococcoides burtonii DSM 6242,
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9453,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9454,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Crenarchaeota <phylum>,Hyperthermus butylicus DSM 5456,Hyperthermus butylicus
Natronomonas pharaonis DSM 2160,CR936257,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9589,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Natronomonas pharaonis DSM 2160,CR936257,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9590,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas,Natronomonas pharaonis,Natronomonas pharaonis DSM 2160,
Haloferax volcanii,K00190,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9695,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Haloferax volcanii,K02510,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9713,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Methanocaldococcus jannaschii,U67517,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9717,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,,
Haloferax volcanii,K00190,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9746,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Haloferax volcanii,K02510,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9747,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,Haloferax volcanii,,
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9751,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9752,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,Methanocaldococcus jannaschii,Methanocaldococcus jannaschii DSM 2661,
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9979,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9980,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Archaeoglobus fulgidus DSM 4304,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,Archaeoglobus fulgidus,,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10016,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10017,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina mazei,Methanosarcina mazei Go1,
Pyrobaculum aerophilum str. IM2,AE009873,76,32,44,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_A_10032,--,Yes,root,cellular organisms,Archaea,,TACK group,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum,Crenarchaeota <phylum>,Pyrobaculum aerophilum str. IM2,Pyrobaculum aerophilum
Pyrococcus furiosus DSM 3638,AE010157,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10039,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Pyrococcus furiosus DSM 3638,AE010162,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10040,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Pyrococcus furiosus DSM 3638,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus furiosus,,
Methanopyrus kandleri AV19,AE010317,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10042,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Methanopyrus kandleri AV19,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus,Methanopyrus kandleri,,
Thermoplasma acidophilum,AL445067,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10216,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma acidophilum,,
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10248,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10249,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,,,,,,environmental samples <Euryarchaeota>,,uncultured methanogenic archaeon
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10251,--,Yes,root,cellular organisms,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum,Haloquadratum walsbyi,Haloquadratum walsbyi DSM 16790,
