Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.ENA.Classified,Taxonomy.ENA.superkingdom,Taxonomy.ENA.phylum,Taxonomy.ENA.no rank 0,Taxonomy.ENA.class,Taxonomy.ENA.order,Taxonomy.ENA.family,Taxonomy.ENA.genus
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8905,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8917,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Thermoplasma volcanium GSS1,BA000011,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_8918,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Methanosarcina barkeri str. Fusaro,CP000099,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9146,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9147,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9148,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9149,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9150,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9237,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9272,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanococcoides burtonii DSM 6242,CP000300,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9273,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9453,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9454,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Natronomonas pharaonis DSM 2160,CR936257,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9589,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Natronomonas pharaonis DSM 2160,CR936257,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9590,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K00190,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9695,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02510,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9713,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii,U67517,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9717,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Haloferax volcanii,K00190,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9746,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Haloferax volcanii,K02510,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9747,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9751,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Methanocaldococcus jannaschii DSM 2661,L77117,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9752,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9979,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_9980,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10016,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10017,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrobaculum aerophilum str. IM2,AE009873,76,32,44,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_t_A_10032,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrococcus furiosus DSM 3638,AE010157,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10039,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus furiosus DSM 3638,AE010162,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10040,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010317,76,32,44,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_t_A_10042,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Thermoplasma acidophilum,AL445067,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10216,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10248,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
uncultured methanogenic archaeon,AM114193,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10249,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10251,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi DSM 16790,AM180088,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10252,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10294,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Thermococcus kodakarensis KOD1,AP006878,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10295,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10349,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10350,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10363,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus horikoshii OT3,BA000001,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10364,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10377,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Thermoplasma volcanium GSS1,BA000011,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10378,--,Yes,Archaea,Euryarchaeota,Diaforarchaea group,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,Thermoplasma
Sulfolobus acidocaldarius DSM 639,CP000077,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10517,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Sulfolobus acidocaldarius DSM 639,CP000077,70,30,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10518,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10532,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10533,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10534,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanosphaera stadtmanae DSM 3091,CP000102,75,31,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10535,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10609,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10610,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Hyperthermus butylicus DSM 5456,CP000493,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10764,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10765,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10796,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Methanocorpusculum labreanum Z,CP000559,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10797,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10845,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Natronomonas pharaonis DSM 2160,CR936257,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10846,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K00183,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10945,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii DSM 2661,L77117,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10948,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Halobacterium salinarum,X03196,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10959,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Haloferax volcanii,K00183,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10960,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Methanocaldococcus jannaschii,U67528,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_10971,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus
Halobacterium salinarum,X03196,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11013,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium
Archaeoglobus fulgidus DSM 4304,AE000782,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11152,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Archaeoglobus fulgidus DSM 4304,AE000782,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11153,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Archaeoglobus fulgidus DSM 4304,AE000782,73,29,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11154,--,Yes,Archaea,Euryarchaeota,,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11227,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina mazei Go1,AE008384,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11228,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Pyrobaculum aerophilum str. IM2,AE009916,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11255,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrobaculum aerophilum str. IM2,AE009921,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11256,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
Pyrococcus furiosus DSM 3638,AE010133,78,36,42,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11268,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus furiosus DSM 3638,AE010159,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11269,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus furiosus DSM 3638,AE010226,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11270,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Methanopyrus kandleri AV19,AE010304,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11273,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
Methanopyrus kandleri AV19,AE010452,76,32,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11274,--,Yes,Archaea,Euryarchaeota,,Methanopyri,Methanopyrales,Methanopyraceae,Methanopyrus
uncultured methanogenic archaeon,AM114193,72,28,44,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_t_A_11772,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
uncultured methanogenic archaeon,AM114193,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11773,--,Yes,Archaea,Euryarchaeota,environmental samples,,,,
Haloquadratum walsbyi DSM 16790,AM180088,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11778,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi DSM 16790,AM180088,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11779,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Haloquadratum walsbyi DSM 16790,AM180088,71,27,44,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_t_A_11780,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloquadratum
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11876,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Thermococcus kodakarensis KOD1,AP006878,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11877,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Thermococcus kodakarensis KOD1,AP006878,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_11878,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Thermococcus
Haloarcula marismortui ATCC 43049,AY596297,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12066,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12067,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Haloarcula marismortui ATCC 43049,AY596297,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12068,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12139,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12140,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Pyrococcus horikoshii OT3,BA000001,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12141,--,Yes,Archaea,Euryarchaeota,,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus
Sulfolobus acidocaldarius DSM 639,CP000077,73,33,40,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12481,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfolobus
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12523,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosarcina barkeri str. Fusaro,CP000099,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12524,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanosarcina
Methanosphaera stadtmanae DSM 3091,CP000102,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12525,--,Yes,Archaea,Euryarchaeota,Methanomada group,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera
Methanospirillum hungatei JF-1,CP000254,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12679,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanospirillum hungatei JF-1,CP000254,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12680,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanospirillaceae,Methanospirillum
Methanococcoides burtonii DSM 6242,CP000300,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12737,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Methanococcoides burtonii DSM 6242,CP000300,72,28,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_12738,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanosarcinales,Methanosarcinaceae,Methanococcoides
Hyperthermus butylicus DSM 5456,CP000493,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13018,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Hyperthermus butylicus DSM 5456,CP000493,78,34,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13019,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Hyperthermus butylicus DSM 5456,CP000493,79,35,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13020,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Hyperthermus
Methanocorpusculum labreanum Z,CP000559,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13098,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Methanomicrobia,Methanomicrobiales,Methanocorpusculaceae,Methanocorpusculum
Natronomonas pharaonis DSM 2160,CR936257,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13230,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Natronomonas pharaonis DSM 2160,CR936257,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13231,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Natronomonas pharaonis DSM 2160,CR936257,71,27,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13232,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Halobacteriales,Haloarculaceae,Natronomonas
Haloferax volcanii,K02515,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13464,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
Thermofilum pendens,X14835,77,33,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13465,--,Yes,Archaea,Crenarchaeota,,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum
Haloferax volcanii,K02513,74,30,44,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_t_A_13471,--,Yes,Archaea,Euryarchaeota,Stenosarchaea group,Halobacteria,Haloferacales,Haloferacaceae,Haloferax
