Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.NCBI.Classified,Taxonomy.NCBI.no rank 0,Taxonomy.NCBI.no rank 1,Taxonomy.NCBI.superkingdom,Taxonomy.NCBI.phylum,Taxonomy.NCBI.class,Taxonomy.NCBI.order,Taxonomy.NCBI.family,Taxonomy.NCBI.genus,Taxonomy.NCBI.unknown 0,Taxonomy.NCBI.no rank 2,Taxonomy.NCBI.unknown 1,Taxonomy.NCBI.no rank 3,Taxonomy.NCBI.unknown 2,Taxonomy.NCBI.species group,Taxonomy.NCBI.no rank 4,Taxonomy.NCBI.subphylum,Taxonomy.NCBI.tribe,Taxonomy.NCBI.unknown 3,Taxonomy.NCBI.subfamily,Taxonomy.NCBI.no rank 5,Taxonomy.NCBI.species subgroup,Taxonomy.NCBI.suborder,Taxonomy.NCBI.kingdom,Taxonomy.NCBI.no rank 6,Taxonomy.NCBI.no rank 7,Taxonomy.NCBI.no rank 8,Taxonomy.NCBI.no rank 9,Taxonomy.NCBI.superclass,Taxonomy.NCBI.subclass,Taxonomy.NCBI.superorder,Taxonomy.NCBI.superfamily,Taxonomy.NCBI.no rank 10,Taxonomy.NCBI.no rank 11,Taxonomy.NCBI.no rank 12,Taxonomy.NCBI.no rank 13,Taxonomy.NCBI.no rank 14,Taxonomy.NCBI.no rank 15,Taxonomy.NCBI.no rank 16,Taxonomy.NCBI.subkingdom,Taxonomy.NCBI.infraclass,Taxonomy.NCBI.cohort,Taxonomy.NCBI.infraorder,Taxonomy.NCBI.varietas,Taxonomy.NCBI.subgenus,Taxonomy.NCBI.subtribe,Taxonomy.NCBI.subcohort,Taxonomy.NCBI.parvorder,Taxonomy.NCBI.unknown 4,Taxonomy.NCBI.unknown 5,Taxonomy.NCBI.no rank 17,Taxonomy.NCBI.no rank 18,Taxonomy.NCBI.unknown 6
Fluoribacter dumoffii,Z30538,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1377,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legionella jordanis,Z30539,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1378,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella jordanis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legionella oakridgensis,Z30540,93,55,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1379,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella oakridgensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legionella israelensis,Z30583,92,54,38,No,0,5s,0,()(),(((())))(),--,No,CRW,--,CRW_5S_B_1380,--,Yes,root,cellular organisms,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella israelensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asellus aquaticus,AJ243001,120,46,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1381,--,Yes,root,cellular organisms,Eukaryota,Arthropoda,Malacostraca,Isopoda,Asellidae,Asellus,Asellus aquaticus,Opisthokonta,,Eumetazoa,,,Bilateria,Crustacea,,,,Protostomia,,Asellota,Metazoa,Ecdysozoa,Panarthropoda,Mandibulata,Pancrustacea,Multicrustacea,Eumalacostraca,Peracarida,Aselloidea,,,,,,,,,,,,,,,,,,,,,
Lentinula edodes,AB030582,120,46,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1382,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus japonicus,AB046116,120,46,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1383,--,Yes,root,cellular organisms,Eukaryota,Streptophyta,,Fabales,Fabaceae,Lotus,Lotus japonicus,Embryophyta,,Tracheophyta,,,Euphyllophyta,Streptophytina,Loteae,,Papilionoideae,Spermatophyta,,,Viridiplantae,Magnoliopsida,Mesangiospermae,eudicotyledons,Gunneridae,,,,,Pentapetalae,rosids,fabids,50 kb inversion clade,NPAAA clade,Hologalegina,robinioid clade,,,,,,,,,,,,,,
Aulopus japonicus,AB088530,41,41,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_E_1384,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088531,41,41,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_E_1385,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088694,43,33,10,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1386,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088695,40,36,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1387,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088696,40,36,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1388,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088698,61,37,24,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1389,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088699,63,37,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1390,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088700,43,35,8,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1391,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088701,52,36,16,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1392,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088702,47,31,16,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1393,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088703,74,48,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1394,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088704,69,43,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1395,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088705,55,37,18,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1396,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088706,43,35,8,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1397,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088707,41,35,6,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1398,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088708,59,33,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1399,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088709,66,40,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1400,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088710,64,42,22,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1401,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088711,40,36,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1402,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088712,56,34,22,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1403,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088713,56,34,22,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1404,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088714,63,41,22,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1405,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088715,65,39,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1406,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088716,74,48,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1407,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088717,66,40,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1408,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088718,57,33,24,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1409,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088719,43,37,6,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1410,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088721,67,41,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1411,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088722,66,42,24,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1412,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088723,66,40,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1413,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088724,68,42,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1414,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088725,47,31,16,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1415,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088726,91,61,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1416,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088729,33,33,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_E_1417,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088732,68,44,24,No,0,5s,0,(),((((())))),--,No,CRW,--,CRW_5S_E_1418,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088733,56,36,20,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1419,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088735,23,23,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_E_1420,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088737,45,35,10,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1421,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088738,43,35,8,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1422,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088739,40,36,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1423,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088740,40,36,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1424,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088743,53,37,16,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1425,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088748,46,42,4,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1426,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aulopus japonicus,AB088749,43,37,6,No,0,5s,0,(),(),--,No,CRW,--,CRW_5S_E_1427,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,30,30,0,No,0,5s,0,--,--,--,No,CRW,--,CRW_5S_N_1428,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,88,58,30,No,0,5s,0,()(),()((())),--,No,CRW,--,CRW_5S_N_1429,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paralichthys olivaceus,AB154836,120,46,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1430,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea senegalensis,AB202073,120,46,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1431,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea senegalensis,AB202073,76,50,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1432,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea senegalensis,AB202074,76,50,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1433,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solea senegalensis,AB202075,76,50,26,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1434,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurotus ostreatus,AB234029,66,36,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1435,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurotus ostreatus,AB234030,66,36,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1436,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurotus pulmonarius,AB234031,64,36,28,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1437,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurotus eryngii,AB234032,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1438,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus fuscus var. ferulae,AB234033,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1439,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pleurotus eryngii,AB234034,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1440,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234035,59,39,20,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1441,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234036,105,57,48,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1442,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234037,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1443,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234038,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1444,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234039,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1445,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234040,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1446,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234041,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1447,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234042,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1448,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234043,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1449,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234044,58,40,18,No,0,5s,0,(),((())),--,No,CRW,--,CRW_5S_E_1450,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234045,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1451,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234046,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1452,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234047,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1453,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234048,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1454,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Pleurotus eryngii,AB234049,105,55,50,No,0,5s,0,()(),(((())))((())),--,No,CRW,--,CRW_5S_E_1455,--,Yes,root,cellular organisms,Eukaryota,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,Pleurotus eryngii,Opisthokonta,,,,,,Agaricomycotina,,,,,,,Fungi,,,,,,Agaricomycetidae,,,,,,,,,,Dikarya,,,,,,,,,,,,,
Lentinula edodes,AB250715,84,54,30,No,0,5s,0,(),((((())))),--,No,CRW,--,CRW_5S_E_1456,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lentinula edodes,AB250716,84,54,30,No,0,5s,0,(),((((())))),--,No,CRW,--,CRW_5S_E_1457,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pythium sp. AP,AB254193,87,59,28,No,0,5s,0,()(),()((())),--,No,CRW,--,CRW_5S_E_1458,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC004537,68,38,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1459,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC006001,90,60,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1460,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC006976,92,62,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1461,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC073320,88,58,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1462,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC090426,68,54,14,No,0,5s,0,(),(()),--,No,CRW,--,CRW_5S_E_1463,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Homo sapiens,AC093087,89,59,30,No,0,5s,0,(),(((()))),--,No,CRW,--,CRW_5S_E_1464,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1465,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1466,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1467,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1468,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1469,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1470,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trypanosoma brucei,AC099045,119,45,74,No,0,5s,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_1471,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
