Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID,Reference,Taxonomy.SILVA.Classified,Taxonomy.SILVA.superkingdom,Taxonomy.SILVA.unknown 0,Taxonomy.SILVA.class,Taxonomy.SILVA.order,Taxonomy.SILVA.family,Taxonomy.SILVA.genus,Taxonomy.SILVA.phylum,Taxonomy.SILVA.unknown 1,Taxonomy.SILVA.unknown 2,Taxonomy.SILVA.unknown 3,Taxonomy.SILVA.no rank 0,Taxonomy.SILVA.unknown 4,Taxonomy.SILVA.subphylum,Taxonomy.SILVA.subclass,Taxonomy.SILVA.kingdom,Taxonomy.SILVA.subkingdom,Taxonomy.SILVA.no rank 1,Taxonomy.SILVA.no rank 2,Taxonomy.SILVA.unknown 5,Taxonomy.SILVA.no rank 3,Taxonomy.SILVA.unknown 6,Taxonomy.SILVA.infraclass,Taxonomy.SILVA.no rank 4,Taxonomy.SILVA.no rank 5,Taxonomy.SILVA.superclass,Taxonomy.SILVA.unknown 7,Taxonomy.SILVA.suborder,Taxonomy.SILVA.superorder,Taxonomy.SILVA.no rank 6
Trypanosoma cruzi,DQ182548,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2797,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182548,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2798,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182549,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2799,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182549,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2800,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182550,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2801,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182550,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2802,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182551,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2803,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182551,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2804,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182552,34,34,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2805,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182552,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2806,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182553,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2807,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182553,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2808,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182554,34,34,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2809,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182554,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2810,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182555,54,40,14,No,0,5S,0,(),(()),--,No,CRW,--,CRW_5S_E_2811,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182555,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2812,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182556,34,34,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2813,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182556,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2814,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182557,34,34,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2815,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182557,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2816,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182558,34,34,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2817,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Trypanosoma cruzi,DQ182558,86,60,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2818,--,Yes,Eukaryota,Discoba,,,,Trypanosoma,,Discicristata,Kinetoplastea,Metakinetoplastina,Euglenozoa,Trypanosomatida,,,,,,,,,,,,,,,,,
Salvia divinorum,DQ230979,23,23,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2819,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia divinorum,DQ230979,62,36,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2820,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia officinalis,DQ230980,23,23,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2821,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salvia officinalis,DQ230980,62,36,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2822,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptestheria dahalacensis,DQ303879,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2823,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303880,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2824,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303881,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2825,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303882,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2826,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303883,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2827,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303884,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2828,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303885,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2829,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303886,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2830,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303887,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2831,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303888,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2832,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303889,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2833,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303890,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2834,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303891,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2835,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303892,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2836,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303893,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2837,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303894,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2838,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303895,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2839,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303896,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2840,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303897,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2841,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303898,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2842,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303899,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2843,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303900,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2844,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303901,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2845,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303902,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2846,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303903,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2847,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303904,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2848,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303905,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2849,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303906,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2850,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303907,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2851,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303908,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2852,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303909,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2853,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303910,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2854,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303911,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2855,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303912,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2856,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303913,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2857,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303914,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2858,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303915,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2859,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303916,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2860,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Leptestheria dahalacensis,DQ303917,60,34,26,No,0,5S,0,(),((())),--,No,CRW,--,CRW_5S_E_2861,--,Yes,Eukaryota,Amorphea,Branchiopoda,,,,Arthropoda,Obazoa,Holozoa,Choanozoa,Opisthokonta,Animalia,Crustacea,,Metazoa,,Bilateria,Protostomia,BCP clade,Ecdysozoa,,,,,,,,,
Tricholoma bakamatsutake,DQ323057,23,23,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2862,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tricholoma matsutake,DQ323058,22,22,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2863,--,Yes,Eukaryota,Amorphea,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Basidiomycota,Obazoa,Nucletmycea,,Opisthokonta,,Agaricomycotina,,Fungi,Dikarya,,,,,,,,,,,,,
Tricholoma matsutake,DQ323059,22,22,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2864,--,Yes,Eukaryota,Amorphea,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Basidiomycota,Obazoa,Nucletmycea,,Opisthokonta,,Agaricomycotina,,Fungi,Dikarya,,,,,,,,,,,,,
Tricholoma matsutake,DQ323060,22,22,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2865,--,Yes,Eukaryota,Amorphea,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Basidiomycota,Obazoa,Nucletmycea,,Opisthokonta,,Agaricomycotina,,Fungi,Dikarya,,,,,,,,,,,,,
Tricholoma matsutake,DQ323061,22,22,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2866,--,Yes,Eukaryota,Amorphea,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Basidiomycota,Obazoa,Nucletmycea,,Opisthokonta,,Agaricomycotina,,Fungi,Dikarya,,,,,,,,,,,,,
Tricholoma matsutake,DQ323062,22,22,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2867,--,Yes,Eukaryota,Amorphea,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,Basidiomycota,Obazoa,Nucletmycea,,Opisthokonta,,Agaricomycotina,,Fungi,Dikarya,,,,,,,,,,,,,
Anguilla rostrata,DQ323734,120,48,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2868,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla anguilla,DQ339039,120,48,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2869,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla anguilla,DQ339040,120,48,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2870,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anguilla anguilla,DQ339041,120,48,72,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2871,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zea mays,DQ351339,121,47,74,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2872,--,Yes,Bacteria,Cyanobacteriia,,,,,Cyanobacteria,Chloroplast,,,,,,,,,,,,,,,,,,,,,
Zea mays,DQ351339,121,47,74,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2873,--,Yes,Bacteria,Cyanobacteriia,,,,,Cyanobacteria,Chloroplast,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354957,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2874,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354958,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2875,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354959,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2876,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354960,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2877,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354961,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2878,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia controversa,DQ354962,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2879,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia caries,DQ354963,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2880,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia caries,DQ354964,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2881,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia laevis,DQ354965,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2882,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia laevis,DQ354966,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2883,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tilletia laevis,DQ354967,40,40,0,No,0,5S,0,--,--,--,No,CRW,--,CRW_5S_E_2884,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
null,,119,45,74,No,0,5S,0,(()()),((((())))((()))),--,No,CRW,--,CRW_5S_E_2885,--,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
